Level,id,RealClass,parent_id,ParentClass,grandparent_id,GrandparentClass
2,n09366017,natural depression,n09287968,geological formation,fall11,root_name
3,n09468604,valley,n09366017,natural depression,n09287968,geological formation
2,n09366317,natural elevation,n09287968,geological formation,fall11,root_name
3,n09359803,mountain,n09366317,natural elevation,n09287968,geological formation
4,n09193705,alp,n09359803,mountain,n09366317,natural elevation
4,n09472597,volcano,n09359803,mountain,n09366317,natural elevation
3,n09399592,promontory,n09366317,natural elevation,n09287968,geological formation
3,n09409512,ridge,n09366317,natural elevation,n09287968,geological formation
4,n09214060,bar,n09409512,ridge,n09366317,natural elevation
5,n09421951,sandbar,n09214060,bar,n09409512,ridge
4,n09406793,reef,n09409512,ridge,n09366317,natural elevation
5,n09256479,coral reef,n09406793,reef,n09409512,ridge
2,n09433442,shore,n09287968,geological formation,fall11,root_name
3,n09332890,lakeside,n09433442,shore,n09287968,geological formation
3,n09428293,seashore,n09433442,shore,n09287968,geological formation
2,n09443453,spring,n09287968,geological formation,fall11,root_name
3,n09288635,geyser,n09443453,spring,n09287968,geological formation
1,n07881800,beverage,fall11,root_name,no_id,no_grandparent
2,n07929519,coffee,n07881800,beverage,fall11,root_name
3,n07920052,espresso,n07929519,coffee,n07881800,beverage
2,n07884567,alcohol,n07881800,beverage,fall11,root_name
3,n07891726,wine,n07884567,alcohol,n07881800,beverage
4,n07892512,red wine,n07891726,wine,n07884567,alcohol
3,n07911371,mixed drink,n07884567,alcohol,n07881800,beverage
4,n07930554,punch,n07911371,mixed drink,n07884567,alcohol
5,n07932039,eggnog,n07930554,punch,n07911371,mixed drink
5,n07930864,cup,n07930554,punch,n07911371,mixed drink
1,n07707451,vegetable,fall11,root_name,no_id,no_grandparent
2,n07710007,solanaceous vegetable,n07707451,vegetable,fall11,root_name
3,n07720442,pepper,n07710007,solanaceous vegetable,n07707451,vegetable
4,n07720615,sweet pepper,n07720442,pepper,n07710007,solanaceous vegetable
5,n07720875,bell pepper,n07720615,sweet pepper,n07720442,pepper
2,n07713395,cruciferous vegetable,n07707451,vegetable,fall11,root_name
3,n07713895,cabbage,n07713395,cruciferous vegetable,n07707451,vegetable
4,n07714571,head cabbage,n07713895,cabbage,n07713395,cruciferous vegetable
3,n07714990,broccoli,n07713395,cruciferous vegetable,n07707451,vegetable
3,n07715103,cauliflower,n07713395,cruciferous vegetable,n07707451,vegetable
2,n07715561,squash,n07707451,vegetable,fall11,root_name
3,n07717070,winter squash,n07715561,squash,n07707451,vegetable
4,n07717410,acorn squash,n07717070,winter squash,n07715561,squash
4,n07717556,butternut squash,n07717070,winter squash,n07715561,squash
3,n07715721,summer squash,n07715561,squash,n07707451,vegetable
4,n07716358,zucchini,n07715721,summer squash,n07715561,squash
4,n07716906,spaghetti squash,n07715721,summer squash,n07715561,squash
2,n07718472,cucumber,n07707451,vegetable,fall11,root_name
2,n07718747,artichoke,n07707451,vegetable,fall11,root_name
2,n07730033,cardoon,n07707451,vegetable,fall11,root_name
2,n07734744,mushroom,n07707451,vegetable,fall11,root_name
1,n00019128,natural object,fall11,root_name,no_id,no_grandparent
2,n09349797,mechanism,n00019128,natural object,fall11,root_name
3,n09214581,barrier,n09349797,mechanism,n00019128,natural object
2,n13086908,plant part,n00019128,natural object,fall11,root_name
3,n13087625,plant organ,n13086908,plant part,n00019128,natural object
4,n11675842,reproductive structure,n13087625,plant organ,n13086908,plant part
5,n13134947,fruit,n11675842,reproductive structure,n13087625,plant organ
6,n07705931,edible fruit,n13134947,fruit,n11675842,reproductive structure
7,n07739125,apple,n07705931,edible fruit,n13134947,fruit
8,n07739506,eating apple,n07739125,apple,n07705931,edible fruit
9,n07742313,granny smith,n07739506,eating apple,n07739125,apple
7,n07742704,berry,n07705931,edible fruit,n13134947,fruit
8,n07745940,strawberry,n07742704,berry,n07705931,edible fruit
7,n07747055,citrus,n07705931,edible fruit,n13134947,fruit
8,n07747607,orange,n07747055,citrus,n07705931,edible fruit
8,n07749582,lemon,n07747055,citrus,n07705931,edible fruit
7,n07753113,fig,n07705931,edible fruit,n13134947,fruit
7,n07753275,pineapple,n07705931,edible fruit,n13134947,fruit
7,n07753592,banana,n07705931,edible fruit,n13134947,fruit
7,n07754684,jackfruit,n07705931,edible fruit,n13134947,fruit
7,n07760859,custard apple,n07705931,edible fruit,n13134947,fruit
7,n07768694,pomegranate,n07705931,edible fruit,n13134947,fruit
6,n12267677,acorn,n13134947,fruit,n11675842,reproductive structure
6,n12620546,hip,n13134947,fruit,n11675842,reproductive structure
6,n13133613,ear,n13134947,fruit,n11675842,reproductive structure
6,n13135832,seed,n13134947,fruit,n11675842,reproductive structure
7,n11689483,oilseed,n13135832,seed,n13134947,fruit
8,n11879895,rapeseed,n11689483,oilseed,n13135832,seed
7,n12156819,grain,n13135832,seed,n13134947,fruit
8,n12157056,kernel,n12156819,grain,n13135832,seed
9,n12144580,corn,n12157056,kernel,n12156819,grain
7,n12768682,buckeye,n13135832,seed,n13134947,fruit
6,n13138842,pome,n13134947,fruit,n11675842,reproductive structure
1,n00021939,artifact,fall11,root_name,no_id,no_grandparent
2,n03575240,instrumentality,n00021939,artifact,fall11,root_name
3,n03183080,device,n03575240,instrumentality,n00021939,artifact
4,n03800933,musical instrument,n03183080,device,n03575240,instrumentality
5,n03915437,percussion instrument,n03800933,musical instrument,n03183080,device
6,n03928116,piano,n03915437,percussion instrument,n03800933,musical instrument
7,n03452741,grand piano,n03928116,piano,n03915437,percussion instrument
7,n04515003,upright,n03928116,piano,n03915437,percussion instrument
6,n03017168,chime,n03915437,percussion instrument,n03800933,musical instrument
6,n03249569,drum,n03915437,percussion instrument,n03800933,musical instrument
6,n03447721,gong,n03915437,percussion instrument,n03800933,musical instrument
6,n03720891,maraca,n03915437,percussion instrument,n03800933,musical instrument
6,n03721384,marimba,n03915437,percussion instrument,n03800933,musical instrument
6,n04311174,steel drum,n03915437,percussion instrument,n03800933,musical instrument
5,n04338517,stringed instrument,n03800933,musical instrument,n03183080,device
6,n02787622,banjo,n04338517,stringed instrument,n03800933,musical instrument
6,n02880546,bowed stringed instrument,n04338517,stringed instrument,n03800933,musical instrument
7,n02992211,cello,n02880546,bowed stringed instrument,n04338517,stringed instrument
7,n04536866,violin,n02880546,bowed stringed instrument,n04338517,stringed instrument
6,n03025886,chordophone,n04338517,stringed instrument,n03800933,musical instrument
7,n03495258,harp,n03025886,chordophone,n04338517,stringed instrument
6,n03467517,guitar,n04338517,stringed instrument,n03800933,musical instrument
7,n02676566,acoustic guitar,n03467517,guitar,n04338517,stringed instrument
7,n03272010,electric guitar,n03467517,guitar,n04338517,stringed instrument
5,n04586932,wind instrument,n03800933,musical instrument,n03183080,device
6,n03854065,organ,n04586932,wind instrument,n03800933,musical instrument
6,n02891788,brass,n04586932,wind instrument,n03800933,musical instrument
7,n03110669,cornet,n02891788,brass,n04586932,wind instrument
7,n03394916,french horn,n02891788,brass,n04586932,wind instrument
7,n04487394,trombone,n02891788,brass,n04586932,wind instrument
6,n03393324,free-reed instrument,n04586932,wind instrument,n03800933,musical instrument
7,n02672831,accordion,n03393324,free-reed instrument,n04586932,wind instrument
7,n03494278,harmonica,n03393324,free-reed instrument,n04586932,wind instrument
6,n03840681,ocarina,n04586932,wind instrument,n03800933,musical instrument
6,n03945615,pipe,n04586932,wind instrument,n03800933,musical instrument
7,n03884397,panpipe,n03945615,pipe,n04586932,wind instrument
6,n04598582,woodwind,n04586932,wind instrument,n03800933,musical instrument
7,n02817799,beating-reed instrument,n04598582,woodwind,n04586932,wind instrument
8,n03228016,double-reed instrument,n02817799,beating-reed instrument,n04598582,woodwind
9,n02804610,bassoon,n03228016,double-reed instrument,n02817799,beating-reed instrument
9,n03838899,oboe,n03228016,double-reed instrument,n02817799,beating-reed instrument
8,n04222847,single-reed instrument,n02817799,beating-reed instrument,n04598582,woodwind
9,n04141076,sax,n04222847,single-reed instrument,n02817799,beating-reed instrument
7,n03372029,flute,n04598582,woodwind,n04586932,wind instrument
4,n02688443,airfoil,n03183080,device,n03575240,instrumentality
5,n04592741,wing,n02688443,airfoil,n03183080,device
4,n02895606,breathing device,n03183080,device,n03575240,instrumentality
5,n03868863,oxygen mask,n02895606,breathing device,n03183080,device
5,n04251144,snorkel,n02895606,breathing device,n03183080,device
4,n03269401,electrical device,n03183080,device,n03575240,instrumentality
5,n04470953,transducer,n03269401,electrical device,n03183080,device
6,n03274561,electro-acoustic transducer,n04470953,transducer,n03269401,electrical device
7,n03691459,loudspeaker,n03274561,electro-acoustic transducer,n04470953,transducer
7,n03759954,microphone,n03274561,electro-acoustic transducer,n04470953,transducer
4,n03277771,electronic device,n03183080,device,n03575240,instrumentality
5,n03211117,display,n03277771,electronic device,n03183080,device
6,n04152593,screen,n03211117,display,n03277771,electronic device
5,n03793489,mouse,n03277771,electronic device,n03183080,device
4,n03320046,fan,n03183080,device,n03575240,instrumentality
5,n03271574,electric fan,n03320046,fan,n03183080,device
4,n03339643,filter,n03183080,device,n03575240,instrumentality
5,n03843555,oil filter,n03339643,filter,n03183080,device
5,n04332243,strainer,n03339643,filter,n03183080,device
4,n03508101,heater,n03183080,device,n03575240,instrumentality
5,n04265275,space heater,n03508101,heater,n03183080,device
5,n04330267,stove,n03508101,heater,n03183080,device
4,n03574816,instrument,n03183080,device,n03575240,instrumentality
5,n03575691,instrument of execution,n03574816,instrument,n03183080,device
6,n03467068,guillotine,n03575691,instrument of execution,n03574816,instrument
5,n03733925,measuring instrument,n03574816,instrument,n03183080,device
6,n02794156,barometer,n03733925,measuring instrument,n03574816,instrument
6,n03735637,measuring stick,n03733925,measuring instrument,n03574816,instrument
7,n04118776,rule,n03735637,measuring stick,n03733925,measuring instrument
6,n03753077,meter,n03733925,measuring instrument,n03574816,instrument
7,n03841143,odometer,n03753077,meter,n03733925,measuring instrument
6,n04141975,scale,n03733925,measuring instrument,n03574816,instrument
6,n04437953,timepiece,n03733925,measuring instrument,n03574816,instrument
7,n04555897,watch,n04437953,timepiece,n03733925,measuring instrument
8,n03197337,digital watch,n04555897,watch,n04437953,timepiece
7,n03046257,clock,n04437953,timepiece,n03733925,measuring instrument
8,n02708093,analog clock,n03046257,clock,n04437953,timepiece
8,n03196217,digital clock,n03046257,clock,n04437953,timepiece
8,n04548280,wall clock,n03046257,clock,n04437953,timepiece
7,n04134632,sandglass,n04437953,timepiece,n03733925,measuring instrument
8,n03544143,hourglass,n04134632,sandglass,n04437953,timepiece
7,n04355338,sundial,n04437953,timepiece,n03733925,measuring instrument
7,n04438304,timer,n04437953,timepiece,n03733925,measuring instrument
8,n03891332,parking meter,n04438304,timer,n04437953,timepiece
8,n04328186,stopwatch,n04438304,timer,n04437953,timepiece
5,n03739693,medical instrument,n03574816,instrument,n03183080,device
6,n04317175,stethoscope,n03739693,medical instrument,n03574816,instrument
6,n04376876,syringe,n03739693,medical instrument,n03574816,instrument
5,n03813176,navigational instrument,n03574816,instrument,n03183080,device
6,n03080497,compass,n03813176,navigational instrument,n03574816,instrument
7,n03706229,magnetic compass,n03080497,compass,n03813176,navigational instrument
5,n03852280,optical instrument,n03574816,instrument,n03183080,device
6,n02841315,binoculars,n03852280,optical instrument,n03574816,instrument
6,n04009552,projector,n03852280,optical instrument,n03574816,instrument
6,n04272054,spectacles,n03852280,optical instrument,n03574816,instrument
7,n04356056,sunglasses,n04272054,spectacles,n03852280,optical instrument
5,n04147495,scientific instrument,n03574816,instrument,n03183080,device
6,n03709206,magnifier,n04147495,scientific instrument,n03574816,instrument
7,n03760671,microscope,n03709206,magnifier,n04147495,scientific instrument
8,n03667829,light microscope,n03760671,microscope,n03709206,magnifier
9,n03484931,hand glass,n03667829,light microscope,n03760671,microscope
10,n03692522,loupe,n03484931,hand glass,n03667829,light microscope
7,n04403638,telescope,n03709206,magnifier,n04147495,scientific instrument
8,n02751295,astronomical telescope,n04403638,telescope,n03709206,magnifier
9,n04044716,radio telescope,n02751295,astronomical telescope,n04403638,telescope
5,n04565375,weapon,n03574816,instrument,n03183080,device
6,n03773504,missile,n04565375,weapon,n03574816,instrument
6,n02879718,bow,n04565375,weapon,n03574816,instrument
6,n03467984,gun,n04565375,weapon,n03574816,instrument
7,n02950826,cannon,n03467984,gun,n04565375,weapon
7,n03343853,firearm,n03467984,gun,n04565375,weapon
8,n02759963,autoloader,n03343853,firearm,n03467984,gun
9,n02760429,automatic firearm,n02759963,autoloader,n03343853,firearm
10,n02760855,automatic rifle,n02760429,automatic firearm,n02759963,autoloader
11,n02749479,assault rifle,n02760855,automatic rifle,n02760429,automatic firearm
10,n03701391,machine gun,n02760429,automatic firearm,n02759963,autoloader
8,n03948459,pistol,n03343853,firearm,n03467984,gun
9,n04086273,revolver,n03948459,pistol,n03343853,firearm
8,n04090263,rifle,n03343853,firearm,n03467984,gun
6,n04008634,projectile,n04565375,weapon,n03574816,instrument
4,n03614007,keyboard,n03183080,device,n03575240,instrumentality
5,n03085013,computer keyboard,n03614007,keyboard,n03183080,device
5,n04505470,typewriter keyboard,n03614007,keyboard,n03183080,device
4,n03664675,lifting device,n03183080,device,n03575240,instrumentality
5,n03126707,crane,n03664675,lifting device,n03183080,device
4,n03666591,lighter,n03183080,device,n03575240,instrumentality
4,n03699975,machine,n03183080,device,n03575240,instrumentality
5,n03997484,power tool,n03699975,machine,n03183080,device
6,n03995372,power drill,n03997484,power tool,n03699975,machine
6,n03996145,power saw,n03997484,power tool,n03699975,machine
7,n03000684,chain saw,n03996145,power saw,n03997484,power tool
5,n02938886,calculator,n03699975,machine,n03183080,device
6,n02666196,abacus,n02938886,calculator,n03699975,machine
5,n02977058,cash machine,n03699975,machine,n03183080,device
5,n03082979,computer,n03699975,machine,n03183080,device
6,n02708224,analog computer,n03082979,computer,n03699975,machine
7,n04238763,slide rule,n02708224,analog computer,n03082979,computer
6,n03196324,digital computer,n03082979,computer,n03699975,machine
7,n03918480,personal computer,n03196324,digital computer,n03082979,computer
8,n03180011,desktop computer,n03918480,personal computer,n03196324,digital computer
8,n03985232,portable computer,n03918480,personal computer,n03196324,digital computer
9,n03642806,laptop,n03985232,portable computer,n03918480,personal computer
9,n03485407,hand-held computer,n03985232,portable computer,n03918480,personal computer
9,n03832673,notebook,n03985232,portable computer,n03918480,personal computer
6,n06359193,web site,n03082979,computer,n03699975,machine
5,n03322940,farm machine,n03699975,machine,n03183080,device
6,n03496892,harvester,n03322940,farm machine,n03699975,machine
6,n04428191,thresher,n03322940,farm machine,n03699975,machine
5,n04243941,slot machine,n03699975,machine,n03183080,device
6,n04243546,slot,n04243941,slot machine,n03699975,machine
6,n04525305,vending machine,n04243941,slot machine,n03699975,machine
5,n03096960,control,n03738472,mechanism,no_id,no_grandparent
6,n03602883,joystick,n03096960,control,n03738472,mechanism
6,n04372370,switch,n03096960,control,n03738472,mechanism
5,n03736970,mechanical device,n03738472,mechanism,no_id,no_grandparent
6,n03532672,hook,n03736970,mechanical device,n03738472,mechanism
7,n04574999,wheel,n03700963,machine,no_id,no_grandparent
8,n02974003,car wheel,n04574999,wheel,n03700963,machine
8,n03874293,paddlewheel,n04574999,wheel,n03700963,machine
8,n03944341,pinwheel,n04574999,wheel,n03700963,machine
8,n03992509,potter's wheel,n04574999,wheel,n03700963,machine
6,n04021798,pump,n03736970,mechanical device,n03738472,mechanism
7,n03425413,gas pump,n04021798,pump,n03736970,mechanical device
6,n04088797,ride,n03736970,mechanical device,n03738472,mechanism
7,n02966193,carousel,n04088797,ride,n03736970,mechanical device
6,n04371774,swing,n03736970,mechanical device,n03738472,mechanism
6,n04586421,winder,n03736970,mechanical device,n03738472,mechanism
7,n04067472,reel,n04586421,winder,n03736970,mechanical device
5,n04040759,radiator,n03738472,mechanism,no_id,no_grandparent
4,n03744840,memory device,n03183080,device,n03575240,instrumentality
5,n03706653,magnetic disk,n03744840,memory device,n03183080,device
6,n03492542,hard disc,n03706653,magnetic disk,n03744840,memory device
4,n03851341,optical device,n03183080,device,n03575240,instrumentality
5,n03656484,lens,n03851341,optical device,n03183080,device
6,n03099771,converging lens,n03656484,lens,n03851341,optical device
7,n04355933,sunglass,n03099771,converging lens,n03656484,lens
4,n03929660,pick,n03183080,device,n03575240,instrumentality
4,n04069276,reflector,n03183080,device,n03575240,instrumentality
5,n03773035,mirror,n04069276,reflector,n03183080,device
6,n02965783,car mirror,n03773035,mirror,n04069276,reflector
5,n04258138,solar dish,n04069276,reflector,n03183080,device
4,n04074963,remote control,n03183080,device,n03575240,instrumentality
4,n04081844,restraint,n03183080,device,n03575240,instrumentality
5,n02889425,brake,n04081844,restraint,n03183080,device
6,n02891188,brake system,n02889425,brake,n04081844,restraint
7,n03551084,hydraulic brake,n02891188,brake system,n02889425,brake
8,n03208938,disk brake,n03551084,hydraulic brake,n02891188,brake system
5,n03323703,fastener,n04081844,restraint,n03183080,device
6,n02910353,buckle,n03323703,fastener,n04081844,restraint
6,n03043958,clip,n03323703,fastener,n04081844,restraint
7,n03476684,hair slide,n03043958,clip,n03323703,fastener
6,n03627232,knot,n03323703,fastener,n04081844,restraint
6,n03682487,lock,n03323703,fastener,n04081844,restraint
7,n03075370,combination lock,n03682487,lock,n03323703,fastener
7,n03874599,padlock,n03682487,lock,n03323703,fastener
6,n03804744,nail,n03323703,fastener,n04081844,restraint
6,n03940256,pin,n03323703,fastener,n04081844,restraint
7,n04127249,safety pin,n03940256,pin,n03323703,fastener
6,n04153751,screw,n03323703,fastener,n04081844,restraint
5,n03803284,muzzle,n04081844,restraint,n03183080,device
5,n04125853,safety belt,n04081844,restraint,n03183080,device
6,n04162706,seat belt,n04125853,safety belt,n04081844,restraint
4,n04120093,runner,n03183080,device,n03575240,instrumentality
5,n04228054,ski,n04120093,runner,n03183080,device
4,n04217718,signaling device,n03183080,device,n03575240,instrumentality
5,n04579432,whistle,n04217718,signaling device,n03183080,device
4,n04263760,source of illumination,n03183080,device,n03575240,instrumentality
5,n03636248,lamp,n04263760,source of illumination,n03183080,device
6,n02948072,candle,n03636248,lamp,n04263760,source of illumination
6,n03640988,lantern,n03636248,lamp,n04263760,source of illumination
7,n03590841,jack-o'-lantern,n03640988,lantern,n03636248,lamp
6,n04286575,spotlight,n03636248,lamp,n04263760,source of illumination
5,n03665366,light,n04263760,source of illumination,n03183080,device
6,n04456115,torch,n03665366,light,n04263760,source of illumination
4,n04359589,support,n03183080,device,n03575240,instrumentality
5,n02887209,brace,n04359589,support,n03183080,device
6,n03814639,neck brace,n02887209,brace,n04359589,support
5,n03933933,pier,n04359589,support,n03183080,device
5,n04038440,rack,n04359589,support,n03183080,device
6,n04485082,tripod,n04038440,rack,n04359589,support
5,n04341414,structural member,n04359589,support,n03183080,device
7,n03988170,post,n04515129,upright,no_id,no_grandparent
8,n03733131,maypole,n03988170,post,n04515129,upright
4,n04474466,trap,n03183080,device,n03575240,instrumentality
5,n03794056,mousetrap,n04474466,trap,n03183080,device
5,n04568557,web,n04474466,trap,n03183080,device
6,n04275548,spider web,n04568557,web,n04474466,trap
3,n03563967,implement,n03575240,instrumentality,n00021939,artifact
4,n04451818,tool,n03563967,implement,n03575240,instrumentality
5,n03154446,cutting implement,n04451818,tool,n03563967,implement
6,n03154073,cutter,n03154446,cutting implement,n04451818,tool
7,n03265032,edge tool,n03154073,cutter,n03154446,cutting implement
8,n02764044,ax,n03265032,edge tool,n03154073,cutter
9,n03498962,hatchet,n02764044,ax,n03265032,edge tool
8,n03623556,knife,n03265032,edge tool,n03154073,cutter
9,n03041632,cleaver,n03623556,knife,n03265032,edge tool
9,n03658185,letter opener,n03623556,knife,n03265032,edge tool
8,n03954731,plane,n03265032,edge tool,n03154073,cutter
5,n03418242,garden tool,n04451818,tool,n03563967,implement
6,n03649909,lawn mower,n03418242,garden tool,n04451818,tool
5,n03489162,hand tool,n04451818,tool,n03563967,implement
6,n03481172,hammer,n03489162,hand tool,n04451818,tool
6,n03848348,opener,n03489162,hand tool,n04451818,tool
7,n02877962,bottle opener,n03848348,opener,n03489162,hand tool
8,n03109150,corkscrew,n02877962,bottle opener,n03848348,opener
7,n02951585,can opener,n03848348,opener,n03489162,hand tool
6,n03970156,plunger,n03489162,hand tool,n04451818,tool
6,n04154565,screwdriver,n03489162,hand tool,n04451818,tool
6,n04208210,shovel,n03489162,hand tool,n04451818,tool
5,n03967562,plow,n04451818,tool,n03563967,implement
4,n04516672,utensil,n03563967,implement,n03575240,instrumentality
5,n03621049,kitchen utensil,n04516672,utensil,n03563967,implement
6,n03101986,cooking utensil,n03621049,kitchen utensil,n04516672,utensil
7,n03101156,cooker,n03101986,cooking utensil,n03621049,kitchen utensil
8,n03133878,crock pot,n03101156,cooker,n03101986,cooking utensil
7,n03880531,pan,n03101986,cooking utensil,n03621049,kitchen utensil
8,n03400231,frying pan,n03880531,pan,n03101986,cooking utensil
8,n04596742,wok,n03880531,pan,n03101986,cooking utensil
7,n03990474,pot,n03101986,cooking utensil,n03621049,kitchen utensil
8,n02939185,caldron,n03990474,pot,n03101986,cooking utensil
8,n03063689,coffeepot,n03990474,pot,n03101986,cooking utensil
8,n04398044,teapot,n03990474,pot,n03101986,cooking utensil
7,n04500060,turner,n03101986,cooking utensil,n03621049,kitchen utensil
8,n04270147,spatula,n04500060,turner,n03101986,cooking utensil
4,n03039947,cleaning implement,n03563967,implement,n03575240,instrumentality
5,n04367480,swab,n03039947,cleaning implement,n03563967,implement
5,n02906734,broom,n03039947,cleaning implement,n03563967,implement
4,n02908217,brush,n03563967,implement,n03575240,instrumentality
5,n03876231,paintbrush,n02908217,brush,n03563967,implement
4,n03294833,eraser,n03563967,implement,n03575240,instrumentality
5,n04116512,rubber eraser,n03294833,eraser,n03563967,implement
4,n04185071,sharpener,n03563967,implement,n03575240,instrumentality
5,n03908714,pencil sharpener,n04185071,sharpener,n03563967,implement
4,n03837422,oar,n03563967,implement,n03575240,instrumentality
5,n03873416,paddle,n03837422,oar,n03563967,implement
4,n04100174,rod,n03563967,implement,n03575240,instrumentality
5,n03976657,pole,n04100174,rod,n03563967,implement
4,n04608567,writing implement,n03563967,implement,n03575240,instrumentality
5,n03906997,pen,n04608567,writing implement,n03563967,implement
6,n04033901,quill,n03906997,pen,n04608567,writing implement
6,n02783161,ballpoint,n03906997,pen,n04608567,writing implement
6,n03388183,fountain pen,n03906997,pen,n04608567,writing implement
4,n04317420,stick,n03563967,implement,n03575240,instrumentality
5,n04277352,spindle,n04317420,stick,n03563967,implement
5,n03250847,drumstick,n04317420,stick,n03563967,implement
5,n04296261,staff,n04317420,stick,n03563967,implement
6,n03141823,crutch,n04296261,staff,n04317420,stick
6,n03355925,flagpole,n04296261,staff,n04317420,stick
5,n03729826,matchstick,n04317420,stick,n03563967,implement
5,n03659292,lever,n02788689,bar,no_id,no_grandparent
6,n03613592,key,n03659292,lever,n02788689,bar
7,n04264628,space bar,n03613592,key,n03659292,lever
4,n04285622,sports implement,n03563967,implement,n03575240,instrumentality
5,n04039381,racket,n04285622,sports implement,n03563967,implement
3,n03094503,container,n03575240,instrumentality,n00021939,artifact
4,n04576211,wheeled vehicle,n03094503,container,n03575240,instrumentality
5,n02834778,bicycle,n04576211,wheeled vehicle,n03094503,container
6,n02835271,bicycle-built-for-two,n02834778,bicycle,n04576211,wheeled vehicle
6,n03792782,mountain bike,n02834778,bicycle,n04576211,wheeled vehicle
5,n02959942,car,n04576211,wheeled vehicle,n03094503,container
6,n03393912,freight car,n02959942,car,n04576211,wheeled vehicle
6,n03895866,passenger car,n02959942,car,n04576211,wheeled vehicle
5,n03484083,handcart,n04576211,wheeled vehicle,n03094503,container
6,n02797295,barrow,n03484083,handcart,n04576211,wheeled vehicle
6,n04204347,shopping cart,n03484083,handcart,n04576211,wheeled vehicle
5,n03791053,motor scooter,n04576211,wheeled vehicle,n03094503,container
5,n04170037,self-propelled vehicle,n04576211,wheeled vehicle,n03094503,container
6,n03384352,forklift,n04170037,self-propelled vehicle,n04576211,wheeled vehicle
6,n03684823,locomotive,n04170037,self-propelled vehicle,n04576211,wheeled vehicle
7,n03272562,electric locomotive,n03684823,locomotive,n04170037,self-propelled vehicle
7,n04310018,steam locomotive,n03684823,locomotive,n04170037,self-propelled vehicle
6,n03791235,motor vehicle,n04170037,self-propelled vehicle,n04576211,wheeled vehicle
7,n02704792,amphibian,n03791235,motor vehicle,n04170037,self-propelled vehicle
8,n02701002,ambulance,n02958343,car,no_id,no_grandparent
8,n02814533,beach wagon,n02958343,car,no_id,no_grandparent
8,n02930766,cab,n02958343,car,no_id,no_grandparent
8,n03100240,convertible,n02958343,car,no_id,no_grandparent
8,n03594945,jeep,n02958343,car,no_id,no_grandparent
8,n03670208,limousine,n02958343,car,no_id,no_grandparent
8,n03770679,minivan,n02958343,car,no_id,no_grandparent
8,n03777568,model t,n02958343,car,no_id,no_grandparent
8,n04037443,racer,n02958343,car,no_id,no_grandparent
